key,en
OBSERVER_LIST_TOTAL_CATCH,Total catch
OBSERVER_LIST_TOTAL_DISCARD,Total discard
OBSERVER_LIST_UNKNOWN,Unknown
OBSERVER_LIST_VESSEL_NAME,Vessel name
OBSERVER_LIST_YES,Yes
OBSERVER_OVERVIEW_AVERAGE_CATCH_OBSERVED,Average catch observed
OBSERVER_OVERVIEW_AVERAGE_CATCH_REPORTED,Average catch reported
OBSERVER_OVERVIEW_EVOLUTION_FROM_LAST_YEAR,vs previous year
OBSERVER_OVERVIEW_EVOLUTION_NO_CHANGE,No change
OBSERVER_OVERVIEW_LAST_REPORT,Last report
OBSERVER_OVERVIEW_NB_OBSERVERS,Number of observers
OBSERVER_OVERVIEW_NB_REPORTS,Number of reports
OBSERVER_OVERVIEW_NB_VESSELS,Number of vessels
OBSERVER_OVERVIEW_NO_DATA,No data
OBSERVER_OVERVIEW_OBSERVATION_PERIOD,Observation period
OBSERVER_OVERVIEW_OBSERVED_DAYS,Observed days
OBSERVER_OVERVIEW_PLOT_NODATE_DISCLAMER,No date associated to a report to produce a graphical view
OBSERVER_OVERVIEW_TITLE,Observer Program - Reports Overview
OBSERVER_OVERVIEW_TOTAL_CATCH_OBSERVED,Total catch observed
OBSERVER_OVERVIEW_TOTAL_CATCH_REPORTED,Total catch reported
OBSERVER_REPORT_AUTOPILOT,Autopilot
OBSERVER_REPORT_CONSTRUCTION_YEAR,Construction Year
OBSERVER_REPORT_DAY,Day
OBSERVER_REPORT_DESCRIPTION_DAYS,days
OBSERVER_REPORT_DESCRIPTION_DAYS_ON_BOARD,Days on Board
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION,Disembarkation
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION_DATE,Disembarkation Date
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION_PORT,Disembarkation Port
OBSERVER_REPORT_DESCRIPTION_EMBARKATION,Embarkation
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_DATE,Embarkation Date
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_LABEL,Embarkation Period
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_PORT,Embarkation Port
OBSERVER_REPORT_DESCRIPTION_FROM,From
OBSERVER_REPORT_DESCRIPTION_OBSERVATION_LABEL,Observation Period
OBSERVER_REPORT_DESCRIPTION_OBSERVER,Observer
OBSERVER_REPORT_DESCRIPTION_OBSERVER_LABEL,Observer Period
OBSERVER_REPORT_DESCRIPTION_OBSERVER_NAME,Observer Name
OBSERVER_REPORT_DESCRIPTION_TAB_TITLE,Description
OBSERVER_REPORT_DESCRIPTION_TIMELINE,Timeline
OBSERVER_REPORT_DESCRIPTION_TITLE,Description
OBSERVER_REPORT_DESCRIPTION_TO,To
OBSERVER_REPORT_DESCRIPTION_TRIP_LABEL,Trip Period
OBSERVER_REPORT_DRA,DRA
OBSERVER_REPORT_ENGINE_POWER,Engine Power
OBSERVER_REPORT_ETP,ETP
OBSERVER_REPORT_FISH_CONSERVATION_METHODS,Fish Conservation Methods
OBSERVER_REPORT_FISH_PRESERVATION,Fish Preservation
OBSERVER_REPORT_FREEZING_CAPACITY,Freezing Capacity
OBSERVER_REPORT_GT,Gross Tonnage
OBSERVER_REPORT_HF_RADIO,HF Radio
OBSERVER_REPORT_LICENCE_NUMBER,Licence Number
OBSERVER_REPORT_LOA,LOA
OBSERVER_REPORT_LOGBOOK_LINKED,Logbook entry (%s) is linked to this trip
OBSERVER_REPORT_LOGBOOK_NOT_LINKED,No logbook entry is found associated to this trip
OBSERVER_REPORT_LOGBOOK_TAB_TITLE,Logbook
OBSERVER_REPORT_LOGBOOK_TITLE,Logbook linkage
OBSERVER_REPORT_NATIONALITY,Nationality
OBSERVER_REPORT_NET_PROBE,Net Probe
OBSERVER_REPORT_NET_TONNAGE,Net Tonnage
OBSERVER_REPORT_NIGHT,Night
OBSERVER_REPORT_NUMBER_OF_STORES,Number of Stores
OBSERVER_REPORT_OBS_ABSENT,Absent
OBSERVER_REPORT_OBS_PRESENT,Present
OBSERVER_REPORT_RADAR,Radar
OBSERVER_REPORT_REGISTRATION_NUMBER,Registration Number
OBSERVER_REPORT_REPORT_SELECTED,Report
OBSERVER_REPORT_ROUTE_TRACER,Route Tracer
OBSERVER_REPORT_SATELITE,Satellite
OBSERVER_REPORT_SELECT_REPORT_LABEL,Select a report
OBSERVER_REPORT_SONAR,Sonar
OBSERVER_REPORT_SOUNDER,Sounder
OBSERVER_REPORT_SPEED,Speed
OBSERVER_REPORT_STORAGE_CAPACITY,Storage Capacity
OBSERVER_REPORT_TITLE,Observer Program - Report Details
OBSERVER_REPORT_TRIP_ACTIVITY,Activity
OBSERVER_REPORT_TRIP_ACTIVITY_ID,Activity ID
OBSERVER_REPORT_TRIP_DAYTIME,Daytime
OBSERVER_REPORT_TRIP_DISCARD,Discard
OBSERVER_REPORT_TRIP_DISCARD_QUANTITY,Discard quantity
OBSERVER_REPORT_TRIP_ETP,ETP
OBSERVER_REPORT_TRIP_FROM,From
OBSERVER_REPORT_TRIP_FULL_TRIP,Full trip
OBSERVER_REPORT_TRIP_GEAR,Gear
OBSERVER_REPORT_TRIP_INDICATOR_DAYS,Days
OBSERVER_REPORT_TRIP_INDICATOR_ETP_SPECIES,ETP species
OBSERVER_REPORT_TRIP_INDICATOR_NUMBER_OF_OPERATIONS,Number of fishing operations
OBSERVER_REPORT_TRIP_INDICATOR_NUMBER_OF_SPECIES,Number of species
OBSERVER_REPORT_TRIP_INDICATOR_OBSERVATION_DURATION,Observation duration
OBSERVER_REPORT_TRIP_INDICATOR_SPECIES,species
OBSERVER_REPORT_TRIP_INDICATOR_TOTAL_DISCARD,Total discard
OBSERVER_REPORT_TRIP_INDICATOR_TOTAL_LANDED,Total landed
OBSERVER_REPORT_TRIP_INDICATOR_TRIP_DURATION,Trip duration
OBSERVER_REPORT_TRIP_INDICATOR_WITH_OBSERVER,with observer
OBSERVER_REPORT_TRIP_LANDED,Landed
OBSERVER_REPORT_TRIP_LANDED_QUANTITY,Landed quantity
OBSERVER_REPORT_TRIP_MAP_TITLE,Activities Locations
OBSERVER_REPORT_TRIP_NO,No
OBSERVER_REPORT_TRIP_OBSERVER_PRESENT,Observer
OBSERVER_REPORT_TRIP_OTHER_SPECIES,Other species
OBSERVER_REPORT_TRIP_PLOT_TITLE,Catch distribution
OBSERVER_REPORT_TRIP_SPECIES,Species
OBSERVER_REPORT_TRIP_TAB_TITLE,Trip and Activities
OBSERVER_REPORT_TRIP_TITLE,Trip and Activities
OBSERVER_REPORT_TRIP_TO,To
OBSERVER_REPORT_TRIP_TOTAL_QUANTITY,Total quantity
OBSERVER_REPORT_TRIP_WIRED_CABLE,Wired cable
OBSERVER_REPORT_TRIP_YES,Yes
OBSERVER_REPORT_UNIT_UNKNOWN,Unknown unit
OBSERVER_REPORT_UNKNOWN,Unknown
OBSERVER_REPORT_VESSEL,Vessel
OBSERVER_REPORT_VESSEL_CARACTERISTICS,Vessel Characteristics
OBSERVER_REPORT_VESSEL_EQUIPMENTS,Vessel Equipments
OBSERVER_REPORT_VESSEL_INFO_TITLE,Vessel Informations
OBSERVER_REPORT_VESSEL_NAME,Vessel Name
OBSERVER_REPORT_VESSEL_OWNER,Vessel Owner
OBSERVER_REPORT_VESSEL_TAB_TITLE,Vessel Informations
OBSERVER_REPORT_VHF_RADIO,VHF Radio
OBSERVER_REPORT_WIDTH,Width
OVERVIEW_VESSEL_HOMEPORT_DATA_EXPORT_FILENAME,Vessel Type Data Breakdown in
OVERVIEW_VESSEL_HOMEPORT_MAP_LABEL_HOMEPORT,Home port
OVERVIEW_VESSEL_HOMEPORT_MAP_LABEL_NUMBER_OF_VESSELS,Number of vessels
OVERVIEW_VESSEL_HOMEPORT_PDF_TITLE,Vessel Type Data Breakdown in
OVERVIEW_VESSEL_HOMEPORT_TABLE_COLNAME_1,VESSEL TYPE
OVERVIEW_VESSEL_HOMEPORT_TABLE_COLNAME_2,COUNT
OVERVIEW_VESSEL_PYRAMID_BOX_LABEL,Fleet Age Repartition
OVERVIEW_VESSEL_SUNBURST_BOX_LABEL,Vessel Profile
OVERVIEW_VESSEL_TABLE_BOX_LABEL,Number of vessels
OVERVIEW_VESSEL_TITLE_DATA,Data
OVERVIEW_VESSEL_TITLE_HOMEPORT,Breakdown of vessels in %s per home port
OVERVIEW_VESSEL_TITLE_MAP,Map
OVERVIEW_VESSEL_TITLE_PIECHART,Breakdown of vessels in %s per vessel type
OVERVIEW_VESSEL_TITLE_TABLE,Data on Breakdown of vessels in %s per vessel type
OVERVIEW_VESSEL_TITLE_VESSELTYPE_HOMEPORT,Breakdown of vessel type in %s per home port
OVERVIEW_VESSEL_VERTICALTABPANEL_GRAPHS,Profile
OVERVIEW_VESSEL_VERTICALTABPANEL_MAPS,Maps
OVERVIEW_VESSEL_VERTICALTABPANEL_TABLE,Statistics
OVERVIEW_VESSEL_VESSELTYPE_HOMEPORT_DATA_EXPORT_FILENAME,Vessel LandingSite Data Breakdown in
OVERVIEW_VESSEL_VESSELTYPE_HOMEPORT_PDF_TITLE,Vessel LandingSite Data Breakdown in
OVERVIEW_VESSEL_VESSELTYPE_HOMEPORT_TABLE_COLNAME_1,HOME PORT
OVERVIEW_VESSEL_VESSELTYPE_HOMEPORT_TABLE_COLNAME_2,COUNT
OVERVIEW_VESSELTYPE_LANDINGSITE_DATA_EXPORT_FILENAME,Home port/LandingSite Vessel Data Breakdown in
OVERVIEW_VESSELTYPE_LANDINGSITE_PDF_TITLE,Home port/LandingSite Vessel Data Breakdown in
OVERVIEW_VESSELTYPE_LANDINGSITE_TABLE_COLNAME_1,LANDING SITE/HOME PORT
OVERVIEW_VESSELTYPE_LANDINGSITE_TABLE_COLNAME_2,VESSELTYPE
OVERVIEW_VESSELTYPE_LANDINGSITE_TABLE_COLNAME_3,COUNT
OVERVIEW_VESSELTYPE_TITLE_LANDINGSITE,Breakdown of vessel type in %s per Landing sites
OWNERSHIP_DATA_EXPORT_FILENAME,vessel_owners_%s
OWNERSHIP_PDF_TITLE,Vessel '%s' (%s) ownership
OWNERSHIP_TABLE_COLNAME_0,Entity type
OWNERSHIP_TABLE_COLNAME_1,Full Name
OWNERSHIP_TABLE_COLNAME_2,Entity Document Number
OWNERSHIP_TABLE_COLNAME_3,Address
OWNERSHIP_TABLE_COLNAME_4,Address City
OWNERSHIP_TABLE_COLNAME_5,Address Zip Code
OWNERSHIP_TABLE_COLNAME_6,Phone Number
OWNERSHIP_TABLE_COLNAME_7,Mobile Number
PERCENT_CHOICE,Percentage bar chart
PERCENT_X_LABEL,Age
PERCENT_Y_LABEL,Percentage
PERIOD,Period
PICKER_LABEL_VESSELS,Vessels
PICKER_LABEL_VESSELS_BY_PAGE,Vessels by page
PICKER_LABEL_VESSELS_HINT,Only five vessels can be selected at a time
PLOT_XLAB,Time
PLOT_YLAB,Quantity
POWER,Power
PROJECTION_VARIATION,Project variation
PYRAMID_CHOICE,Pyramid chart
PYRAMID_X_LABEL,Number
PYRAMID_Y_LABEL,Age
QUANTITY_PLOT_YLAB,Quantity
QUARTILES,quartiles
RANK_LABEL,Display x most caught :
RANK_METHOD,Rank method :
RECOMPUTE_REASON,Explanation
REFERENTIAL_TABLE_COLNAME_1,Table
REFERENTIAL_TABLE_COLNAME_2,Value
REFERENTIAL_TABLE_COLNAME_3,Issue Level
REFERENTIAL_TABLE_COLNAME_4,Description
REFERENTIAL_TABLE_DATA_FILENAME,ref_to_add_
REFERENTIAL_UPDATE_LABEL,Referential(s) to update
REFRESH,Refresh
REGISTRATION_NUMBER,Registration Number
REGISTRATION_PORT,Registration Port
RELEASE_DEPENDENT_LABEL,Release also dependent indicators
RELEASE_NO_DATA_LABEL,No data released yet!
RETRIEVE_INDICATOR_FOR_LABEL,Retrieve indicator for
ROW_VARIABLES,Display as rows
RUN_SELECTION_LABEL,Run selection
SELECT_TRIP_MSG,Select criteria to display corresponding trips
SELECTED_VARIABLES,Selected variables
SPECIES_GROUP_STATISTIC_LABEL,Species groups
SPECIES_GROUP_YLAB,Quantity
SPECIES_LABEL,Species
SPECIES_STATISTIC_LABEL,Species
SPECIES_YLAB,Quantity
SPEED,Speed
STACKED_CHOICE,Stacked bar chart
STACKED_X_LABEL,Age
STACKED_Y_LABEL,Number
STANDARD_DEVIATION,Standard Deviation (SD)
STANDARD_ERROR,Standard Error (SE)
STATISTIC,Statistic
LINECHART_STATISTIC_DATA_EXPORT_FILENAME,%s_%s_statistics
STATISTIC_DATA_EXPORT_FILENAME,statistics_table
LINECHART_STATISTIC_PDF_TITLE,Statistics by %s - %s
STATISTIC_PDF_TITLE,Statistics table
STATISTIC_TABLE_COLNAME_1,Year
STATISTIC_TABLE_COLNAME_4,sum
STATISTIC_TABLE_COLNAME_5,mean
STATISTIC_TABLE_COLNAME_6,median
STATUS,Status
STATUS_APPROVED,Approved
STATUS_COMPUTED,Completed
STATUS_NOT_AVAILABLE,Not computable
STATUS_TO_COMPUTE,To compute
STEP_SELECTOR_LABEL,Group age by :
SUCCESS,Success
SUCCESS_COMPUTING_LABEL,Successful computation!
SUCCESS_REPORTING_LABEL,Successfully generated report!
SUMMARY,Reports
SUMMARY_CATCHES_COLNAME_1,Year
SUMMARY_CATCHES_COLNAME_2,Days At Sea
SUMMARY_CATCHES_COLNAME_3,Quantity
SUMMARY_CATCHES_DATA_EXPORT_FILENAME,vessel_catch_summary_%s
SUMMARY_CATCHES_PDF_TITLE,Vessel '%s' (%s) Catch summary (as of %s)
SUMMER_DEADWEIGHT,Summer Deadweight (t)
TABLE_COLNAME_NAME,Name
TABLE_COLNAME_QUANTITY,quantity
TABLE_COLNAME_YEAR,year
TABLE_LANGUAGE,//cdn.datatables.net/plug-ins/1.10.11/i18n/English.json
TABPANEL_BREAKDOWN_BY_SPECIES,Breakdown by Species
TABPANEL_BREAKDOWN_BY_SPECIES_GROUPS,Species groups
TABPANEL_BY_LANDING_SITE,By landing site
TABPANEL_BY_LANDING_SITE_SELECT_LABEL,Year
TABPANEL_BY_LANDING_SITE_SELECT_PLACEHOLDER_LABEL,Select a year
TABPANEL_BY_OWNER,By owner
TABPANEL_BY_OWNER_SELECT_LABEL,Vessel owner (company)
TABPANEL_BY_OWNER_SELECT_PLACEHOLDER_LABEL,Select a vessel owner
TABPANEL_BY_VESSEL,By vessel
TABPANEL_BY_VESSEL_SELECT_LABEL,Vessel
TABPANEL_BY_VESSEL_SELECT_PLACEHOLDER_LABEL,Select a vessel
TABPANEL_CHARACTERISTICS,Characteristics
TABPANEL_HISTORY,History
TABPANEL_INFO,Info
TABPANEL_PLOT,Plot
TABPANEL_REGISTRATION,Registration
TABPANEL_SPECIES,Species
TABPANEL_SPECIES_GROUPS,Species groups
TABPANEL_STATISTIC,Statistics
TABPANEL_SUMMARY,Summary
TEMPORAL_RESOLUTION,Temporal resolution
TITLE_TRIP_DETAILS_FOR_VESSEL,Trip detail for Vessel
TO_CANCEL_RECOMPUTE_LABEL,Cancel
TO_CANCEL_RELEASE_LABEL,Cancel
TO_CREATE_RECOMPUTE_LABEL,OK
TO_CREATE_RELEASE_LABEL,OK
TOTAL,Total
TOTAL_CATCH_OVER_THE_PERIOD,Total catch over the period
TOTAL_LABEL,Grand Total
TOTAL_QUANTITIES_GRAPH_TITLE,Total quantities by year
TOTAL_QUANTITY_UNITS_TONS,tons
TRAWLING_SPEED,Trawling Speed
TRIP_FROM,Trip from
TRIP_TABLE_COLNAME_1,Species
TRIP_TABLE_COLNAME_2,Quantity
TRIP_TABLE_COLNAME_3,Percent
UNRELEASE_DEPENDENT_LABEL,Unrelease also dependent indicators
VALIDATION_PROGRESS_MESSAGE,Dataset validation in progress ... 
VALIDATION_PROGRESS_MESSAGE_LABEL_ON,on
VALIDATION_PROGRESS_MESSAGE_LABEL_TRIPID,Trip ID
VALIDATION_PROGRESS_MESSAGE_LABEL_TRIPS,trips
VERTICALTABPANEL_BREAKDOWN_BY_FISHING_ZONE,Breakdown by fishing zones
VERTICALTABPANEL_BREAKDOWN_BY_GEAR_TYPES,Breakdown by gear types
VERTICALTABPANEL_BREAKDOWN_BY_LANDING_SITES,Breakdown by landing sites
VERTICALTABPANEL_BREAKDOWN_BY_SPECIES,Breakdown by species
VERTICALTABPANEL_BREAKDOWN_BY_VESSEL_TYPES,Breakdown by vessel types
VERTICALTABPANEL_CATCHES,Catches
VERTICALTABPANEL_FISHING_TRIPS,Fishing Trips
VERTICALTABPANEL_GLOBAL_QUANTITY,Total quantity
VERTICALTABPANEL_GLOBAL_VESSEL,Total participating vessels
VERTICALTABPANEL_HISTORY,History
VERTICALTABPANEL_INDIVIDUAL_QA_DOB,Individual Date Of Birth
VERTICALTABPANEL_INDIVIDUAL_ROLES,Roles
VERTICALTABPANEL_LICENCES,Licenses
VERTICALTABPANEL_OWNERSHIP,Ownership
VERTICALTABPANEL_VESSEL_QA_ACTIVITY,Vessel Activity
VERTICALTABPANEL_VESSEL_QA_CHARACTERISTICS,Vessel Characteristics
VERTICALTABPANEL_VESSEL_QA_LICENSE,Vessel License
VERTICALTABPANEL_VESSEL_QA_NAMES,Vessel Names
VERTICALTABPANEL_VESSEL_QA_PORTS,Vessel Ports
VERTICALTABPANEL_VESSEL_QA_VOP_STATUS,Vessel Operational Status
VESSEL TYPE,Vessel type
VESSEL_FINDER,VesselFinder
VESSEL_FINDER_DATA_COLNAME,VesselFinder*
VESSEL_INFO_TITLE,Vessel information
VESSEL_LIST_SUBTITLE,Access information on vessels
VESSEL_LIST_TABLE_COLNAME_DETAILS,
VESSEL_LIST_TABLE_COLNAME_HOMEPORT,HOME PORT/LANDING SITE
VESSEL_LIST_TABLE_COLNAME_LICENSESTATUS,LICENSE STATUS
VESSEL_LIST_TABLE_COLNAME_NAME,NAME
VESSEL_LIST_TABLE_COLNAME_OPSTATUS,VESSEL OPERATIONAL STATUS
VESSEL_LIST_TABLE_COLNAME_REGNUMBER,REGISTRATION NUMBER
VESSEL_LIST_TABLE_COLNAME_REGPORT,REGISTRATION PORT/LANDING SITE
VESSEL_LIST_TABLE_COLNAME_VESSELSTATTYPE,VESSEL STAT TYPE
VESSEL_LIST_TABLE_COLNAME_VESSELSTATUS,VESSEL STATUS
VESSEL_LIST_TABLE_COLNAME_VESSELTYPE,VESSEL TYPE
VESSEL_LIST_TABLE_RECORD_ACCESS,Details
VESSEL_LIST_TITLE,List of vessels
VESSEL_LIST_VESSEL_STATUS_ACTIVE,Active
VESSEL_LIST_VESSEL_STATUS_INACTIVE,Inactive
VESSEL_LIST_VESSEL_STATUS_UNDEFINED,Undefined
VESSEL_NAME,Vessel name
VESSEL_OVERVIEW_SUBTITLE,Visualize the overview of vessels
VESSEL_OVERVIEW_TITLE,Overview of vessels
VESSEL_PROPERTY_ENERGYTYPE,Energy type
VESSEL_PROPERTY_ENGINETYPE,Engine type
VESSEL_PROPERTY_HOMEPORT,Home port
VESSEL_PROPERTY_MANUFACTURER,Manufacturer
VESSEL_PROPERTY_OPERATIONAL_STATUS,Operational status
VESSEL_PROPERTY_REGPORT,Registration port
VESSEL_PROPERTY_STATUS,Status
VESSEL_PROPERTY_VESSELTYPE,Vessel type
VESSEL_QA_LICENSE_STATUS_EXPIRED,Expired
VESSEL_QA_LICENSE_STATUS_NOTCOMPLETED,Not completed
VESSEL_QA_LICENSE_STATUS_VALID,Valid
VESSEL_QA_STATUS_CHAR_TOCHECK,To complete
VESSEL_QA_STATUS_CHAR_VALID,Completed
VESSEL_QA_STATUS_INACTIVITY,In activity
VESSEL_QA_STATUS_NOACTIVITY,No activity
VESSEL_QA_STATUS_TOCHECK,To check
VESSEL_QA_STATUS_VALID,Valid
VESSEL_QA_SUBTITLE,Access quality assessment indicators on the vessel registry
VESSEL_QA_TABLE_CHAR_COLNAME_1,ACTION
VESSEL_QA_TABLE_CHAR_COLNAME_2,LOA
VESSEL_QA_TABLE_CHAR_COLNAME_3,DRA
VESSEL_QA_TABLE_CHAR_COLNAME_4,GT
VESSEL_QA_TABLE_CHAR_COLNAME_5,SPEED
VESSEL_QA_TABLE_CHAR_COLNAME_6,POWER
VESSEL_QA_TABLE_COLNAME_1,ACTION
VESSEL_QA_TABLE_COLNAME_2,COUNT
VESSEL_QA_TABLE_FISHINGTRIPS_COLNAME_1,Activity Status
VESSEL_QA_TABLE_FISHINGTRIPS_COLNAME_2,Historical Period
VESSEL_QA_TABLE_FISHINGTRIPS_COLNAME_3,Current Year
VESSEL_QA_TABLE_LICENSE_COLNAME_1,LICENSE STATUS
VESSEL_QA_TABLE_LICENSE_COLNAME_2,COUNT
VESSEL_QA_TABLE_PORT_COLNAME_1,ACTION
VESSEL_QA_TABLE_PORT_COLNAME_2,HOME PORT
VESSEL_QA_TABLE_PORT_COLNAME_3,REGISTRATION PORT
VESSEL_QA_TABLE_VOP_STATUS_COLNAME_1,OPERATIONAL STATUS
VESSEL_QA_TABLE_VOP_STATUS_COLNAME_2,COUNT
VESSEL_QA_TITLE,Vessel quality assessment
VESSEL_QA_TITLE_ACTIVITY,Quality assessment on vessel with or without fishing trip activities
VESSEL_QA_TITLE_CHARACTERISTICS,Quality assessment on vessel characteristics
VESSEL_QA_TITLE_LICENSE,Quality assessment on vessel with no or expired license current year
VESSEL_QA_TITLE_NAMES,Quality assessment on vessel names
VESSEL_QA_TITLE_PORTS,Quality assessment on vessel home port and registration port
VESSEL_QA_TITLE_VOP_STATUS,Quality assessment on vessel operational status
VESSEL_STAT_TYPE,Vessel stat type
VESSEL_STATUS_ACTIVE,Vessel active
VESSEL_STATUS_INACTIVE,Vessel non active
VESSEL_TYPE,Vessel type
VESSEL_TYPE_LABEL,Vessel type
VESSEL_UNKNOWN_VALUE,Unknown
VESSELS,Vessels
VESSELS_LABEL,Vessels 
WARNING,Warning
WARNING_MESSAGE,"Catches reported here are the results of a sample-based survey (Artisanal Fisheries), and do not reflect the total catches of the selected vessel"
WARNING_REPORTING_LABEL_EMPTY_REPORT,Generated report is empty!
WEEKLY,Weekly
YEARLY,Yearly
